id,format,width,height,size_kb,aspect_ratio,pixels
307019536,JPEG,200,267,27.7,0.75,53400
308814388,JPEG,600,800,143.8,0.75,480000
308515012,JPEG,640,853,162.7,0.75,545920
308823484,JPEG,305,842,128.9,1.52,256810
307832419,JPEG,640,853,288.8,0.75,545920
308871444,JPEG,300,400,44.8,0.75,120000
307339326,JPEG,150,200,8.7,0.75,30000
308708284,JPEG,1267,268,144.5,1.0,339556
308203489,JPEG,300,400,43.1,0.75,120000
307797717,JPEG,640,853,236.6,0.75,545920
307438174,PNG,640,853,583.2,0.75,545920
308033109,JPEG,300,400,48.8,0.75,120000
307537808,JPEG,800,1067,387.0,0.75,853600
308373190,JPEG,1200,1600,1030.2,0.75,1920000
307078272,JPEG,800,1067,388.6,0.75,853600
307799683,JPEG,891,485,165.8,0.61,432135
308727843,JPEG,53,199,7.0,0.27,10547
308963693,JPEG,58,178,6.9,0.33,10324
307781920,JPEG,600,800,176.9,0.75,480000
308610611,JPEG,200,267,25.3,0.75,53400
308133764,JPEG,300,400,57.0,0.75,120000
308538142,JPEG,144,166,15.9,0.87,23904
307436126,JPEG,150,200,9.6,0.75,30000
307936945,JPEG,150,200,10.7,0.75,30000
307696968,JPEG,66,132,5.8,0.5,8712
308084169,JPEG,768,1374,499.2,1.84,1055232
307207717,JPEG,180,87,10.4,2.07,15660
307704324,JPEG,408,573,95.4,0.64,233784
307357342,JPEG,268,387,29.8,0.54,103716
307443257,JPEG,776,915,204.8,1.94,710040
308729549,JPEG,1200,1600,630.9,0.75,1920000
308419180,JPEG,150,200,11.6,0.75,30000
307623765,JPEG,150,200,14.5,0.75,30000
308725029,JPEG,200,267,17.2,0.75,53400
308314702,JPEG,300,400,36.5,0.75,120000
308217153,JPEG,600,800,186.2,0.75,480000
308823894,JPEG,89,69,4.1,1.29,6141
307579047,JPEG,209,1446,153.9,1.03,302214
308082539,JPEG,150,200,11.7,0.75,30000
308934148,JPEG,640,853,285.0,0.75,545920
308897576,JPEG,640,853,189.3,0.75,545920
308051901,JPEG,800,1067,455.2,0.75,853600
307297027,JPEG,480,640,110.4,0.75,307200
307858263,JPEG,150,200,12.9,0.75,30000
307029698,JPEG,480,640,110.7,0.75,307200
308283849,JPEG,50,55,1.8,0.91,2750
307240357,JPEG,600,800,161.3,0.75,480000
308268177,JPEG,600,800,222.5,0.75,480000
307825318,JPEG,800,1067,450.7,0.75,853600
307346748,JPEG,300,400,56.1,0.75,120000
307819827,JPEG,300,400,62.5,0.75,120000
308339522,JPEG,1490,1215,543.9,1.99,1810350
307140293,JPEG,300,400,43.8,0.75,120000
307420503,JPEG,518,1220,198.2,0.6,631960
308735324,JPEG,300,400,37.2,0.75,120000
308931820,JPEG,150,200,13.5,0.75,30000
307046865,JPEG,150,200,10.2,0.75,30000
308079343,JPEG,1200,1600,895.6,0.75,1920000
307269956,JPEG,164,754,56.3,0.97,123656
307390213,JPEG,800,1067,366.4,0.75,853600
307565411,JPEG,480,640,107.0,0.75,307200
307178136,JPEG,600,800,240.6,0.75,480000
307244162,JPEG,600,800,137.5,0.75,480000
307209534,JPEG,800,1067,285.7,0.75,853600
307579828,JPEG,600,800,213.9,0.75,480000
308203619,JPEG,75,157,7.8,0.48,11775
307311727,JPEG,640,853,266.1,0.75,545920
307808544,JPEG,200,267,28.9,0.75,53400
307934441,JPEG,480,640,101.1,0.75,307200
308293404,JPEG,300,400,50.3,0.75,120000
307253665,JPEG,1200,1600,945.3,0.75,1920000
308496171,JPEG,150,200,15.7,0.75,30000
307613312,JPEG,1200,1600,651.1,0.75,1920000
307810598,JPEG,1553,303,141.0,1.36,470559
308583906,JPEG,600,800,193.7,0.75,480000
307374907,JPEG,800,1067,304.1,0.75,853600
308914499,JPEG,122,156,12.7,0.78,19032
307296428,JPEG,150,200,12.3,0.75,30000
307736274,JPEG,800,1067,249.6,0.75,853600
307458689,JPEG,150,200,10.5,0.75,30000
307654418,JPEG,275,1528,140.2,1.08,420200
307317311,JPEG,150,200,11.1,0.75,30000
308053224,JPEG,800,1067,269.2,0.75,853600
307424373,BMP,600,800,900.8,0.75,480000
308962337,JPEG,600,800,254.6,0.75,480000
308684320,JPEG,933,1548,606.4,1.83,1444284
308354777,JPEG,600,800,223.0,0.75,480000
308647649,JPEG,800,1067,376.0,0.75,853600
308139805,JPEG,1200,1600,871.0,0.75,1920000
308703698,JPEG,800,1067,293.6,0.75,853600
307111555,JPEG,800,1067,355.8,0.75,853600
308357113,JPEG,123,88,7.2,1.4,10824
307297715,JPEG,177,58,6.8,3.05,10266
308779091,JPEG,1200,1600,654.2,0.75,1920000
308941186,JPEG,640,853,259.8,0.75,545920
307085352,JPEG,174,70,8.1,2.49,12180
308832088,JPEG,1576,205,93.7,1.22,323080
307029602,JPEG,1200,1600,598.8,0.75,1920000
307441051,JPEG,150,200,15.3,0.75,30000
308386060,JPEG,300,400,34.9,0.75,120000
308295015,PNG,640,853,484.4,0.75,545920
307579619,JPEG,640,853,244.0,0.75,545920
307896697,JPEG,300,400,58.3,0.75,120000
308925228,JPEG,1157,1727,675.1,2.12,1998139
308820869,JPEG,640,853,216.9,0.75,545920
307804742,JPEG,600,800,141.6,0.75,480000
307853873,JPEG,150,200,10.1,0.75,30000
307027875,JPEG,200,267,23.0,0.75,53400
307817876,JPEG,300,400,44.7,0.75,120000
308569565,JPEG,640,853,181.4,0.75,545920
308008831,JPEG,300,400,48.8,0.75,120000
308880256,JPEG,1156,359,138.8,0.61,415004
307113958,JPEG,480,640,91.0,0.75,307200
308383542,JPEG,800,1067,329.7,0.75,853600
307305592,JPEG,640,853,197.0,0.75,545920
308526375,JPEG,640,853,215.2,0.75,545920
307271375,JPEG,200,267,17.1,0.75,53400
307463415,JPEG,300,400,36.2,0.75,120000
307342939,JPEG,101,86,5.8,1.17,8686
308281951,JPEG,1200,1600,944.5,0.75,1920000
307431243,JPEG,200,267,27.3,0.75,53400
308580024,JPEG,640,853,160.9,0.75,545920
307930750,JPEG,200,267,23.1,0.75,53400
308973102,JPEG,480,640,137.8,0.75,307200
307727119,JPEG,694,604,169.9,0.67,419176
307661478,JPEG,1276,662,320.7,2.0,844712
308351921,JPEG,146,141,13.7,1.04,20586
308523892,JPEG,1200,1600,827.6,0.75,1920000
307324767,JPEG,800,1067,299.3,0.75,853600
307088750,JPEG,480,640,101.5,0.75,307200
307677083,PNG,577,1049,701.1,0.85,605273
307733409,JPEG,1200,1600,671.5,0.75,1920000
308623028,JPEG,640,853,234.3,0.75,545920
307063133,JPEG,300,400,51.7,0.75,120000
308977970,JPEG,480,640,105.9,0.75,307200
307992792,JPEG,480,640,134.4,0.75,307200
307827174,JPEG,300,400,36.2,0.75,120000
308371185,JPEG,150,200,13.6,0.75,30000
308078966,JPEG,300,400,53.7,0.75,120000
307678089,JPEG,1147,1753,789.3,0.59,2010691
308817680,JPEG,200,267,15.8,0.75,53400
307355924,JPEG,200,267,23.5,0.75,53400
308612022,JPEG,200,267,21.2,0.75,53400
307478716,JPEG,600,800,190.5,0.75,480000
307487900,JPEG,600,800,170.0,0.75,480000
308392203,JPEG,200,267,16.7,0.75,53400
307773556,JPEG,640,853,298.6,0.75,545920
307561281,PNG,480,640,302.9,0.75,307200
308826953,JPEG,175,137,16.0,1.28,23975
307050072,JPEG,150,200,13.8,0.75,30000
307773584,JPEG,1102,1041,478.9,2.04,1147182
307884554,JPEG,800,1067,430.2,0.75,853600
307239508,JPEG,150,200,10.9,0.75,30000
307227237,JPEG,160,153,16.3,1.05,24480
307444969,JPEG,800,1067,444.9,0.75,853600
307309370,JPEG,600,800,143.6,0.75,480000
308689332,JPEG,200,267,18.0,0.75,53400
307817640,JPEG,640,853,176.8,0.75,545920
307200987,JPEG,150,200,12.1,0.75,30000
308222163,JPEG,1437,161,124.7,2.17,231357
308959261,JPEG,150,200,13.2,0.75,30000
307450436,JPEG,800,1067,304.9,0.75,853600
308154474,JPEG,640,853,164.4,0.75,545920
307573194,JPEG,300,400,41.5,0.75,120000
308246607,JPEG,144,194,18.6,0.74,27936
308159195,JPEG,1468,163,115.7,0.76,239284
307211793,JPEG,640,853,165.8,0.75,545920
307811357,JPEG,300,400,59.7,0.75,120000
307326666,JPEG,1113,1518,829.9,0.66,1689534
308671272,JPEG,181,77,9.3,2.35,13937
307373277,JPEG,200,267,19.2,0.75,53400
308100200,JPEG,118,153,12.0,0.77,18054
308101570,JPEG,135,165,14.8,0.82,22275
308723914,JPEG,200,267,21.3,0.75,53400
307050612,JPEG,800,1067,345.7,0.75,853600
308842693,JPEG,52,73,2.5,0.71,3796
307328835,JPEG,356,1621,267.1,1.39,577076
307795884,JPEG,200,267,16.1,0.75,53400
308892508,JPEG,600,800,209.3,0.75,480000
308672372,JPEG,800,1067,304.0,0.75,853600
308346178,PNG,480,640,225.3,0.75,307200
307216210,JPEG,640,853,178.7,0.75,545920
307897519,JPEG,800,1067,333.9,0.75,853600
307894023,JPEG,200,267,16.3,0.75,53400
307908923,JPEG,200,267,15.3,0.75,53400
308476162,JPEG,123,193,15.8,0.64,23739
308820291,JPEG,1579,1627,865.1,1.49,2569033
307674476,JPEG,1200,1600,709.2,0.75,1920000
308422704,JPEG,300,400,51.1,0.75,120000
307290716,JPEG,300,400,38.2,0.75,120000
307342689,JPEG,600,800,254.2,0.75,480000
308204958,JPEG,600,800,204.9,0.75,480000
308510714,JPEG,139,131,12.1,1.06,18209
307297533,JPEG,150,200,15.3,0.75,30000
307787393,JPEG,200,267,22.5,0.75,53400
307382966,JPEG,480,640,150.5,0.75,307200
308436161,JPEG,300,400,62.4,0.75,120000
307195934,JPEG,300,400,57.4,0.75,120000
308888017,JPEG,640,853,178.6,0.75,545920
308601544,PNG,1200,1600,2293.2,0.75,1920000
308659738,JPEG,300,400,63.3,0.75,120000
308210518,JPEG,480,640,92.2,0.75,307200
308177868,JPEG,1200,1600,956.0,0.75,1920000
307801668,JPEG,187,198,24.7,0.94,37026
307352577,JPEG,300,400,66.6,0.75,120000
308959862,JPEG,600,800,145.0,0.75,480000
307045467,JPEG,300,400,51.4,0.75,120000
308287580,JPEG,150,200,8.8,0.75,30000
307197360,JPEG,119,58,4.6,2.05,6902
307881314,JPEG,1200,1600,549.1,0.75,1920000
308171502,JPEG,1200,1600,619.6,0.75,1920000
307664206,JPEG,800,1067,397.9,0.75,853600
308112759,JPEG,640,853,227.8,0.75,545920
307193180,JPEG,800,1067,246.1,0.75,853600
307829358,JPEG,1200,1600,950.9,0.75,1920000
308650398,JPEG,800,1067,294.2,0.75,853600
308599939,JPEG,600,800,146.2,0.75,480000
307066882,JPEG,169,57,6.4,2.96,9633
307728926,JPEG,300,400,38.5,0.75,120000
308276752,JPEG,200,267,27.4,0.75,53400
308381148,JPEG,300,400,66.3,0.75,120000
308278495,JPEG,123,116,9.5,1.06,14268
307610816,JPEG,600,800,160.3,0.75,480000
307512862,JPEG,800,1067,253.7,0.75,853600
307990312,JPEG,200,267,15.6,0.75,53400
307853824,JPEG,200,267,20.1,0.75,53400
308167154,JPEG,800,1067,255.3,0.75,853600
308545849,JPEG,111,182,13.5,0.61,20202
308200463,JPEG,150,200,11.4,0.75,30000
307098873,JPEG,150,200,13.6,0.75,30000
308006800,JPEG,640,853,198.1,0.75,545920
307927364,JPEG,300,400,59.0,0.75,120000
308035013,JPEG,300,400,53.7,0.75,120000
308686862,JPEG,150,200,12.4,0.75,30000
307225492,JPEG,480,640,155.0,0.75,307200
307479587,JPEG,300,400,57.5,0.75,120000
308891374,JPEG,640,853,234.1,0.75,545920
308257419,JPEG,480,640,128.0,0.75,307200
308904548,JPEG,135,83,7.5,1.63,11205
307586658,JPEG,480,640,120.3,0.75,307200
308178168,JPEG,200,267,18.1,0.75,53400
307407351,JPEG,398,437,56.1,2.1,173926
307819437,JPEG,1200,1600,580.9,0.75,1920000
307026831,JPEG,600,800,145.2,0.75,480000
308670935,JPEG,600,800,167.5,0.75,480000
307885519,JPEG,139,100,9.3,1.39,13900
307619224,JPEG,300,400,58.6,0.75,120000
308731417,JPEG,200,267,19.8,0.75,53400
307532269,JPEG,480,640,94.5,0.75,307200
308276446,PNG,1200,1600,1343.2,0.75,1920000
307379267,JPEG,800,1067,338.6,0.75,853600
307933590,JPEG,640,853,169.9,0.75,545920
308358735,JPEG,150,200,13.0,0.75,30000
308328687,JPEG,600,800,172.4,0.75,480000
307951086,JPEG,970,1750,619.6,0.54,1697500
308252223,JPEG,480,640,115.9,0.75,307200
308952132,PNG,222,828,146.9,1.56,183816
308039379,JPEG,150,200,9.5,0.75,30000
307629846,JPEG,640,853,297.2,0.75,545920
307603205,PNG,640,853,377.3,0.75,545920
307827762,JPEG,1200,1600,1055.0,0.75,1920000
308799525,JPEG,189,65,8.2,2.91,12285
308500157,JPEG,800,1067,336.1,0.75,853600
307651668,JPEG,1200,1600,559.4,0.75,1920000
308711395,JPEG,200,267,22.2,0.75,53400
307774081,JPEG,600,800,158.5,0.75,480000
308795706,JPEG,600,800,184.3,0.75,480000
308670025,JPEG,640,853,205.0,0.75,545920
308388952,JPEG,600,800,188.7,0.75,480000
307293310,JPEG,480,640,103.3,0.75,307200
308348452,JPEG,163,127,13.8,1.28,20701
307303391,JPEG,300,400,56.9,0.75,120000
307887244,JPEG,640,853,192.0,0.75,545920
307027516,JPEG,640,853,209.7,0.75,545920
308199434,JPEG,150,200,11.2,0.75,30000
307407021,JPEG,480,640,105.9,0.75,307200
308642151,JPEG,300,400,56.3,0.75,120000
307403549,PNG,150,200,20.4,0.75,30000
307149603,JPEG,940,547,274.7,2.12,514180
307900176,JPEG,640,853,238.9,0.75,545920
308116449,JPEG,480,640,98.8,0.75,307200
308753714,PNG,600,800,551.1,0.75,480000
308380884,JPEG,160,199,21.2,0.8,31840
307319511,JPEG,480,640,128.3,0.75,307200
307566047,JPEG,131,87,7.6,1.51,11397
308560391,JPEG,1200,369,181.2,1.14,442800
308799492,JPEG,300,400,57.0,0.75,120000
307933456,JPEG,200,267,16.8,0.75,53400
308633511,JPEG,480,640,94.1,0.75,307200
308851644,JPEG,200,267,16.1,0.75,53400
308747127,JPEG,200,267,24.2,0.75,53400
308823398,JPEG,200,267,22.9,0.75,53400
307814125,JPEG,640,853,236.3,0.75,545920
307832119,JPEG,480,640,94.8,0.75,307200
307158370,JPEG,200,267,21.5,0.75,53400
307007285,JPEG,600,800,185.5,0.75,480000
307364111,JPEG,640,853,299.9,0.75,545920
308272218,JPEG,75,197,9.8,0.38,14775
308366454,JPEG,800,1067,309.3,0.75,853600
308054554,JPEG,67,110,4.9,0.61,7370
307608978,JPEG,480,640,119.1,0.75,307200
308363612,JPEG,480,640,97.1,0.75,307200
307762561,JPEG,200,267,16.9,0.75,53400
307680132,JPEG,300,400,58.6,0.75,120000
307979994,JPEG,318,151,13.8,0.92,48018
307767232,JPEG,1200,1600,771.2,0.75,1920000
308157178,JPEG,66,82,3.6,0.8,5412
308581778,JPEG,115,78,6.0,1.47,8970
308330212,JPEG,200,267,22.9,0.75,53400
307964057,JPEG,600,800,197.4,0.75,480000
307009268,JPEG,600,800,254.7,0.75,480000
308670353,JPEG,200,267,27.3,0.75,53400
308106223,JPEG,600,800,231.0,0.75,480000
308750113,JPEG,629,1549,445.9,1.14,974321
307182125,PNG,800,1067,611.2,0.75,853600
308448078,JPEG,72,112,5.4,0.64,8064
307003053,JPEG,200,267,17.6,0.75,53400
307075077,JPEG,200,267,22.2,0.75,53400
308671241,JPEG,150,200,8.6,0.75,30000
307673104,JPEG,600,800,212.3,0.75,480000
307097814,JPEG,640,853,171.3,0.75,545920
307517159,PNG,770,1194,886.9,1.52,919380
308643938,JPEG,51,128,4.4,0.4,6528
307258190,JPEG,800,1067,341.0,0.75,853600
308754341,JPEG,600,800,219.2,0.75,480000
307588369,PNG,800,1067,877.4,0.75,853600
307798453,JPEG,600,800,212.7,0.75,480000
307640032,JPEG,480,640,141.0,0.75,307200
308067634,JPEG,300,400,41.1,0.75,120000
308271637,PNG,800,1067,709.9,0.75,853600
307490190,JPEG,1300,1482,976.7,0.96,1926600
308703466,JPEG,480,640,170.1,0.75,307200
307513685,JPEG,600,800,162.0,0.75,480000
308832273,JPEG,200,267,17.8,0.75,53400
308594516,JPEG,1200,1600,1047.1,0.75,1920000
307252635,JPEG,480,640,166.5,0.75,307200
307105948,JPEG,800,1067,247.4,0.75,853600
308776865,JPEG,640,853,273.6,0.75,545920
308954818,JPEG,800,1067,249.1,0.75,853600
308098919,JPEG,300,400,39.8,0.75,120000
307923045,JPEG,640,853,246.0,0.75,545920
308896470,JPEG,170,153,17.3,1.11,26010
308282335,JPEG,800,1067,315.2,0.75,853600
308453538,JPEG,1200,1600,632.2,0.75,1920000
307679333,JPEG,600,800,154.2,0.75,480000
308477725,JPEG,1200,1600,722.2,0.75,1920000
308884457,JPEG,122,118,9.6,1.03,14396
307762442,JPEG,800,1067,421.3,0.75,853600
307803702,JPEG,1200,1600,567.7,0.75,1920000
308448085,JPEG,1200,1600,584.7,0.75,1920000
307721531,JPEG,1593,563,257.6,0.69,896859
308872714,JPEG,150,200,13.1,0.75,30000
307012833,JPEG,300,400,61.0,0.75,120000
307955485,JPEG,664,534,137.6,1.39,354576
308123624,JPEG,133,117,10.4,1.14,15561
307602397,JPEG,196,109,14.2,1.8,21364
308356320,JPEG,981,316,170.5,1.06,309996
307546768,JPEG,67,130,5.8,0.52,8710
308314387,JPEG,200,267,17.7,0.75,53400
308057581,JPEG,600,800,161.0,0.75,480000
307950790,JPEG,600,800,163.7,0.75,480000
307175304,JPEG,800,1067,440.2,0.75,853600
308485641,JPEG,161,192,20.6,0.84,30912
308530144,JPEG,89,85,5.0,1.05,7565
307217997,JPEG,480,640,122.2,0.75,307200
308233291,JPEG,1104,1686,928.3,0.93,1861344
307411408,JPEG,800,1067,288.4,0.75,853600
308930915,JPEG,486,1459,272.0,1.86,709074
308687623,JPEG,118,179,14.1,0.66,21122
308195057,JPEG,800,1067,435.8,0.75,853600
308377350,JPEG,1200,1600,983.4,0.75,1920000
308720997,JPEG,300,400,60.8,0.75,120000
307737025,JPEG,300,400,52.6,0.75,120000
307175114,BMP,150,200,48.4,0.75,30000
308583410,JPEG,839,665,228.4,0.61,557935
308399428,JPEG,800,1067,269.6,0.75,853600
308186109,JPEG,879,1326,553.6,1.26,1165554
307089313,JPEG,480,640,118.1,0.75,307200
308175165,JPEG,177,93,11.0,1.9,16461
308003217,JPEG,300,400,46.5,0.75,120000
308049575,JPEG,800,1067,386.4,0.75,853600
308364109,JPEG,1200,1600,741.2,0.75,1920000
307200212,JPEG,200,267,18.2,0.75,53400
308420902,JPEG,198,80,10.6,2.48,15840
308602248,JPEG,1200,1600,657.1,0.75,1920000
307587967,JPEG,501,1261,336.5,1.79,631761
307925931,JPEG,200,267,25.9,0.75,53400
308798277,JPEG,800,1067,391.3,0.75,853600
308564997,JPEG,640,853,168.6,0.75,545920
308619783,JPEG,800,1067,276.2,0.75,853600
308693813,JPEG,1512,967,426.5,0.88,1462104
307670225,JPEG,200,267,19.5,0.75,53400
308328884,PNG,92,176,10.8,0.52,16192
308201204,JPEG,150,200,11.4,0.75,30000
308978036,JPEG,640,853,182.9,0.75,545920
307206102,JPEG,800,1067,330.4,0.75,853600
307722168,JPEG,300,400,36.9,0.75,120000
307577322,JPEG,96,174,11.1,0.55,16704
308835103,JPEG,122,1606,63.8,0.64,195932
307041402,JPEG,114,171,13.0,0.67,19494
308078064,JPEG,640,853,199.7,0.75,545920
308104417,JPEG,150,200,11.6,0.75,30000
307230845,JPEG,640,853,226.7,0.75,545920
308459858,JPEG,166,101,11.2,1.64,16766
307381161,JPEG,640,853,252.7,0.75,545920
308924787,JPEG,56,158,5.9,0.35,8848
307878353,JPEG,179,158,18.9,1.13,28282
307813738,JPEG,111,120,8.9,0.93,13320
308221982,JPEG,300,400,49.0,0.75,120000
307773180,JPEG,150,200,10.2,0.75,30000
308314857,JPEG,150,200,15.0,0.75,30000
307650462,JPEG,1563,1302,644.3,1.62,2035026
308350829,JPEG,800,1067,250.8,0.75,853600
308266712,JPEG,480,640,104.4,0.75,307200
307971372,JPEG,300,400,38.7,0.75,120000
307927786,JPEG,800,1067,252.8,0.75,853600
308000593,JPEG,1200,1600,829.5,0.75,1920000
307544472,JPEG,480,640,93.2,0.75,307200
307920327,JPEG,800,1067,271.7,0.75,853600
307687637,JPEG,800,1067,289.0,0.75,853600
307876338,JPEG,640,853,181.4,0.75,545920
307815929,JPEG,144,109,10.5,1.32,15696
307995829,JPEG,949,400,201.1,1.16,379600
307202559,PNG,150,200,37.0,0.75,30000
307077603,PNG,480,640,282.9,0.75,307200
307225026,JPEG,1413,1212,636.3,0.98,1712556
308201586,JPEG,800,1067,326.7,0.75,853600
307464074,JPEG,640,853,290.1,0.75,545920
307395913,JPEG,300,400,64.2,0.75,120000
307645939,JPEG,1200,1600,568.5,0.75,1920000
308287823,JPEG,1246,1267,509.6,1.56,1578682
307090768,JPEG,150,200,9.7,0.75,30000
307082087,JPEG,1200,1600,713.5,0.75,1920000
308596824,PNG,800,1067,579.5,0.75,853600
307186042,PNG,192,103,13.2,1.86,19776
308121785,JPEG,116,135,10.4,0.86,15660
307196687,JPEG,770,406,108.5,1.54,312620
307415479,JPEG,640,853,181.6,0.75,545920
307209132,JPEG,300,400,34.3,0.75,120000
308450887,JPEG,800,1067,305.3,0.75,853600
307157034,PNG,640,853,540.0,0.75,545920
307997690,JPEG,714,448,99.1,1.11,319872
307325061,JPEG,1200,1600,619.7,0.75,1920000
307620180,JPEG,600,800,158.6,0.75,480000
308794045,JPEG,200,267,28.1,0.75,53400
307124943,JPEG,191,157,20.0,1.22,29987
307819235,JPEG,154,178,18.3,0.87,27412
307577539,JPEG,170,186,21.1,0.91,31620
307771684,JPEG,200,267,16.2,0.75,53400
308988140,JPEG,640,853,195.4,0.75,545920
308100945,JPEG,480,640,141.1,0.75,307200
308223545,JPEG,164,72,7.9,2.28,11808
308259115,JPEG,212,339,22.3,1.16,71868
308584717,JPEG,640,853,247.1,0.75,545920
307427484,JPEG,600,800,235.4,0.75,480000
308012464,JPEG,87,60,3.5,1.45,5220
308719853,JPEG,800,1067,262.4,0.75,853600
308902626,JPEG,640,853,171.2,0.75,545920
307159667,JPEG,160,97,10.3,1.65,15520
307606776,JPEG,200,267,26.3,0.75,53400
307742167,JPEG,160,175,18.7,0.91,28000
307305567,JPEG,200,267,29.3,0.75,53400
307005076,JPEG,128,181,10.5,1.91,23168
307163063,JPEG,600,800,145.5,0.75,480000
